StationId,City,Date,Status,PM2.5,PM10,NOx,CO,SO2,O3
DL001,Delhi,2019-03-16,Active,60.85,114.67,29.31,0.44,27.45,50.86
DL001,Delhi,2019-03-17,Active,89.79,176.02,40.18,0.62,33.96,41.11
DL001,Delhi,2019-03-18,Active,99.12,202.06,44.01,0.67,33.74,43.4
DL001,Delhi,2019-03-19,Active,96.73,203.6,49.88,0.68,29.0,39.5
DL001,Delhi,2019-03-20,Active,140.0,292.39,53.32,1.12,42.86,27.5
DL001,Delhi,2019-03-21,Active,69.01,124.15,29.85,0.52,29.84,56.65
DL001,Delhi,2019-03-22,Active,31.32,95.18,26.69,0.28,33.41,55.79
DL001,Delhi,2019-03-23,Active,55.09,122.89,22.74,0.36,32.74,64.24
DL001,Delhi,2019-03-24,Active,49.38,116.66,25.88,0.4,29.48,44.32
DL001,Delhi,2019-03-25,Active,69.76,146.0,27.3,0.48,33.37,31.04
DL001,Delhi,2019-03-26,Active,75.99,161.7,30.05,0.52,33.65,37.52
DL001,Delhi,2019-03-27,Active,97.44,200.95,39.36,0.64,47.47,40.18
DL001,Delhi,2019-03-28,Active,148.67,287.52,59.5,1.0,58.83,44.47
DL001,Delhi,2019-03-29,Active,108.11,268.06,76.15,0.99,29.56,35.81
DL001,Delhi,2019-03-30,Active,115.47,250.0,70.99,0.93,37.24,51.87
DL001,Delhi,2019-03-31,Active,57.07,159.57,28.41,0.42,33.17,45.96
DL001,Delhi,2019-04-01,Active,52.88,153.33,24.63,0.42,36.33,50.85
DL001,Delhi,2019-04-02,Active,115.65,249.6,39.79,0.66,54.52,53.16
DL001,Delhi,2019-04-03,Active,96.58,214.22,31.03,0.63,50.38,49.0
DL001,Delhi,2019-04-04,Active,140.64,226.98,51.25,0.98,52.75,59.66
DL001,Delhi,2019-04-05,Active,136.29,329.12,79.22,1.17,51.5,45.44
DL001,Delhi,2019-04-06,Active,101.55,288.98,36.75,0.71,46.88,42.69
DL001,Delhi,2019-04-07,Active,152.39,321.6,41.63,0.99,43.04,36.45
DL001,Delhi,2019-04-08,Active,79.55,301.14,37.84,0.58,31.9,48.22
DL001,Delhi,2019-04-09,Active,113.04,220.71,36.3,0.8,37.28,59.5
DL001,Delhi,2019-04-10,Active,97.17,247.14,52.58,0.78,34.69,40.54
DL001,Delhi,2019-04-11,Active,70.62,205.31,39.12,0.52,39.12,44.83
DL001,Delhi,2019-04-12,Active,45.26,185.83,30.46,0.4,28.83,47.28
DL001,Delhi,2019-04-13,Active,45.56,167.56,29.81,0.38,32.89,43.14
DL001,Delhi,2019-04-14,Active,43.95,178.23,30.11,0.35,33.64,36.25
DL001,Delhi,2019-04-15,Active,40.3,173.14,34.07,0.42,43.47,37.64
DL001,Delhi,2019-04-16,Active,39.35,184.54,23.78,0.36,24.0,47.19
DL001,Delhi,2019-04-17,Active,27.18,64.89,20.92,0.35,22.24,42.48
DL001,Delhi,2019-04-18,Active,39.6,91.24,20.77,0.4,21.55,46.88
DL001,Delhi,2019-04-19,Active,61.83,163.79,41.57,0.55,42.37,40.33
DL001,Delhi,2019-04-20,Active,108.46,224.83,36.59,0.66,59.69,52.08
DL001,Delhi,2019-04-21,Active,120.9,297.9,55.05,0.93,49.48,48.54
DL001,Delhi,2019-04-22,Active,88.33,239.69,34.33,0.73,41.43,51.57
DL001,Delhi,2019-04-23,Active,92.44,276.35,54.5,0.85,42.21,53.86
DL001,Delhi,2019-04-24,Active,113.81,345.66,32.93,0.95,47.29,80.53
DL001,Delhi,2019-04-25,Active,83.29,271.56,31.54,0.69,32.86,76.84
DL001,Delhi,2019-04-26,Active,80.25,262.32,40.24,0.54,39.93,40.81
DL001,Delhi,2019-04-27,Active,56.02,285.07,29.32,0.33,41.06,43.04
DL001,Delhi,2019-05-07,Active,77.36,352.23,31.56,0.75,49.51,46.59
DL001,Delhi,2019-05-08,Active,183.42,479.9,56.0,1.23,60.64,37.76
DL001,Delhi,2019-05-09,Active,155.09,439.92,37.86,1.01,52.69,44.11
DL001,Delhi,2019-05-10,Active,104.84,386.59,18.61,0.66,37.9,48.31
DL001,Delhi,2019-05-11,Active,100.03,263.7,27.38,0.72,43.99,54.06
DL001,Delhi,2019-05-12,Active,157.41,373.25,24.35,0.75,36.04,52.49
DL001,Delhi,2019-05-13,Active,139.67,340.49,26.57,0.91,62.73,61.9
DL001,Delhi,2019-05-14,Active,53.26,112.1,23.5,0.5,24.51,52.67
DL001,Delhi,2019-05-15,Active,83.8,160.89,34.63,0.7,33.6,28.17
DL001,Delhi,2019-05-16,Active,69.77,181.85,41.71,0.64,32.12,39.59
DL001,Delhi,2019-05-17,Active,85.39,353.84,49.33,0.68,30.87,34.6
DL001,Delhi,2019-05-18,Active,36.67,89.75,25.04,0.38,27.86,47.36
DL001,Delhi,2019-05-19,Active,76.85,164.47,24.29,0.57,39.64,55.49
DL001,Delhi,2019-05-20,Active,103.42,290.97,39.86,0.71,44.19,42.73
DL001,Delhi,2019-05-21,Active,81.82,224.82,26.23,0.58,43.16,45.41
DL001,Delhi,2019-05-23,Active,124.27,340.29,43.83,0.57,56.15,48.69
DL001,Delhi,2019-05-24,Active,41.19,119.02,46.5,0.61,27.25,20.67
DL001,Delhi,2019-05-25,Active,38.48,113.56,21.83,0.36,30.0,43.81
DL001,Delhi,2019-05-26,Active,57.58,149.35,20.99,0.44,44.29,51.37
DL001,Delhi,2019-05-27,Active,86.75,204.25,26.29,0.54,47.26,46.86
DL001,Delhi,2019-05-28,Active,38.32,214.21,31.38,0.56,41.45,51.61
DL001,Delhi,2019-05-29,Active,88.54,237.08,30.49,0.65,54.06,49.44
DL001,Delhi,2019-05-30,Active,108.24,302.41,41.8,0.77,58.61,43.32
DL001,Delhi,2019-05-31,Active,83.48,367.41,31.79,0.69,50.9,54.42
DL001,Delhi,2019-06-01,Active,114.97,338.21,45.1,1.09,57.16,58.32
DL001,Delhi,2019-06-02,Active,75.04,212.7,24.45,0.75,35.95,63.25
DL001,Delhi,2019-06-03,Active,65.8,326.56,22.63,0.63,40.93,58.54
DL001,Delhi,2019-06-04,Active,53.5,166.3,17.03,0.58,37.08,72.37
DL001,Delhi,2019-06-05,Active,85.5,211.79,23.15,0.93,42.31,56.44
DL001,Delhi,2019-06-06,Active,71.9,283.85,28.86,0.8,35.69,58.79
DL001,Delhi,2019-06-07,Active,57.23,135.17,18.61,1.84,37.31,65.75
DL001,Delhi,2019-06-08,Active,84.58,255.29,44.16,1.52,10.22,60.21
DL001,Delhi,2019-06-09,Active,103.58,288.27,60.85,0.58,13.62,59.63
DL001,Delhi,2019-06-10,Active,76.8,281.34,52.79,0.7,10.66,43.14
DL001,Delhi,2019-06-11,Active,96.91,460.96,39.71,0.56,11.57,28.32
DL001,Delhi,2019-06-12,Active,54.67,236.23,17.42,0.33,9.51,59.36
DL001,Delhi,2019-06-13,Active,47.61,174.77,20.38,0.4,10.5,52.77
DL001,Delhi,2019-06-14,Active,55.16,212.27,21.43,0.44,10.73,54.54
DL001,Delhi,2019-06-15,Active,77.23,289.33,27.6,0.51,12.17,51.4
DL001,Delhi,2019-06-16,Active,36.84,178.24,10.74,0.25,9.71,43.45
DL001,Delhi,2019-06-17,Active,36.5,135.48,13.34,0.3,9.89,39.29
DL001,Delhi,2019-06-18,Active,29.27,52.07,16.77,0.33,8.87,49.39
DL001,Delhi,2019-06-19,Active,70.51,199.18,30.49,0.47,11.25,48.51
DL001,Delhi,2019-06-20,Active,43.29,128.21,25.63,0.45,9.48,74.07
DL001,Delhi,2019-06-21,Active,84.35,187.02,26.23,0.68,11.56,60.97
DL001,Delhi,2019-06-22,Active,58.41,170.03,32.77,0.57,10.07,56.83
DL001,Delhi,2019-06-23,Active,48.52,131.7,12.72,0.4,9.86,36.44
DL001,Delhi,2019-06-24,Active,27.5,65.61,37.92,0.36,10.61,22.26
DL001,Delhi,2019-06-25,Active,52.39,87.12,22.74,1.3,12.46,31.72
DL001,Delhi,2019-06-26,Active,68.88,138.54,21.94,3.02,12.12,35.62
DL001,Delhi,2019-06-27,Active,57.99,272.83,33.82,1.83,10.56,38.72
DL001,Delhi,2019-06-28,Active,63.54,263.96,26.04,0.51,13.42,29.03
DL001,Delhi,2019-06-29,Active,56.67,321.73,19.95,0.49,12.01,27.33
DL001,Delhi,2019-06-30,Active,57.22,236.9,31.66,1.28,9.48,24.16
DL001,Delhi,2019-07-01,Active,56.25,178.12,20.41,0.52,10.29,39.33
DL001,Delhi,2019-07-02,Active,60.62,211.25,19.86,0.52,8.55,46.44
DL001,Delhi,2019-07-03,Active,49.02,122.12,21.75,0.54,8.66,34.4
DL001,Delhi,2019-07-04,Active,38.08,74.12,21.19,0.55,10.58,18.01
DL001,Delhi,2019-07-05,Active,47.45,75.03,28.41,0.66,23.86,24.61
DL001,Delhi,2019-07-06,Active,42.46,74.21,29.99,0.61,21.37,39.84
DL001,Delhi,2019-07-07,Active,43.8,70.18,18.05,0.53,23.36,45.17
DL001,Delhi,2019-07-08,Active,54.62,140.25,24.34,0.64,18.98,44.54
DL001,Delhi,2019-07-09,Active,45.06,116.09,26.1,0.56,15.52,27.49
DL001,Delhi,2019-07-10,Active,75.38,348.01,25.69,1.45,19.47,29.75
DL001,Delhi,2019-07-11,Active,75.09,391.74,18.0,0.48,16.59,22.98
DL001,Delhi,2019-07-12,Active,83.25,404.52,21.55,0.64,13.05,17.08
DL001,Delhi,2019-07-13,Active,58.62,378.14,14.92,0.61,12.97,27.48
DL001,Delhi,2019-07-14,Active,46.96,232.4,14.99,0.55,11.83,24.33
DL001,Delhi,2019-07-15,Active,29.9,91.27,15.67,0.68,12.99,26.01
DL001,Delhi,2019-07-16,Active,25.25,39.54,14.84,0.81,11.8,31.59
DL001,Delhi,2019-07-17,Active,24.15,36.65,13.61,0.88,10.79,37.05
DL001,Delhi,2019-07-18,Active,32.23,57.92,19.42,0.76,11.85,42.35
DL001,Delhi,2019-07-19,Active,71.08,138.35,24.95,1.04,20.86,74.89
DL001,Delhi,2019-07-20,Active,43.86,84.22,26.47,0.67,11.64,22.63
DL001,Delhi,2019-07-21,Active,55.2,85.48,24.72,2.15,11.15,19.66
DL001,Delhi,2019-07-22,Active,53.82,80.07,26.17,1.49,10.42,24.31
DL001,Delhi,2019-07-23,Active,49.88,77.04,37.33,2.15,9.93,21.56
DL001,Delhi,2019-07-24,Active,65.75,152.15,38.75,0.98,11.27,30.19
DL001,Delhi,2019-07-25,Active,19.18,44.81,31.07,0.73,10.2,17.24
DL001,Delhi,2019-07-26,Active,34.31,43.86,23.12,0.61,12.76,26.6
DL001,Delhi,2019-07-27,Active,24.82,20.09,15.3,0.62,10.06,24.13
DL001,Delhi,2019-07-28,Active,21.0,23.73,15.86,0.57,11.31,21.73
DL001,Delhi,2019-07-29,Active,20.23,30.11,20.7,0.59,12.79,24.47
DL001,Delhi,2019-07-30,Active,24.44,36.65,25.17,0.69,11.29,22.74
DL001,Delhi,2019-07-31,Active,26.58,43.81,22.19,0.56,11.51,27.06
DL001,Delhi,2019-08-01,Active,36.19,70.67,24.62,0.82,13.79,34.43
DL001,Delhi,2019-08-02,Active,21.33,54.96,28.29,0.67,11.31,25.1
DL001,Delhi,2019-08-03,Active,27.1,37.19,24.56,0.81,10.22,17.0
DL001,Delhi,2019-08-04,Active,35.17,49.98,26.88,0.73,12.42,21.28
DL001,Delhi,2019-08-05,Active,56.25,88.45,38.45,0.93,15.22,33.98
DL001,Delhi,2019-08-06,Active,50.96,77.29,41.71,0.94,10.66,6.76
DL001,Delhi,2019-08-07,Active,24.22,29.95,28.3,0.55,12.3,18.95
DL001,Delhi,2019-08-08,Active,22.54,34.75,18.61,0.59,12.84,29.7
DL001,Delhi,2019-08-09,Active,11.54,24.31,13.93,1.98,11.88,27.35
DL001,Delhi,2019-08-10,Active,18.38,27.38,13.77,1.11,12.44,34.8
DL001,Delhi,2019-08-11,Active,31.0,54.17,23.15,2.07,13.1,35.91
DL001,Delhi,2019-08-12,Active,23.12,51.64,26.6,1.17,12.01,22.06
DL001,Delhi,2019-08-13,Active,22.85,42.51,27.77,1.17,10.98,16.34
DL001,Delhi,2019-08-14,Active,24.55,30.97,21.71,0.98,11.73,30.61
DL001,Delhi,2019-08-15,Active,20.74,34.86,20.23,0.74,10.46,23.76
DL001,Delhi,2019-08-16,Active,12.55,18.06,10.69,0.61,10.65,30.45
DL001,Delhi,2019-08-17,Active,10.06,10.75,10.43,0.66,10.06,16.16
DL001,Delhi,2019-08-18,Active,12.17,11.54,10.37,0.76,10.43,13.92
DL001,Delhi,2019-08-19,Active,35.17,52.6,17.4,0.81,10.5,21.74
DL001,Delhi,2019-08-20,Active,34.21,65.97,22.34,0.77,11.47,23.82
DL001,Delhi,2019-08-21,Active,45.26,106.77,22.41,0.79,10.62,15.46
DL001,Delhi,2019-08-22,Active,47.99,112.25,44.34,0.84,10.0,13.05
DL001,Delhi,2019-08-23,Active,54.67,126.7,54.08,1.15,11.17,18.1
DL001,Delhi,2019-08-24,Active,54.58,111.58,37.12,0.82,10.8,19.44
DL001,Delhi,2019-08-25,Active,52.11,79.86,27.36,0.92,12.09,19.87
DL001,Delhi,2019-08-26,Active,15.35,30.65,17.55,0.62,10.87,19.69
DL001,Delhi,2019-08-27,Active,29.75,52.36,16.16,0.71,11.11,18.22
DL001,Delhi,2019-08-28,Active,35.05,65.11,20.01,0.72,12.26,32.02
DL001,Delhi,2019-08-29,Active,33.86,69.07,17.78,0.86,12.06,33.05
DL001,Delhi,2019-08-30,Active,37.62,76.48,20.64,0.81,12.36,31.68
DL001,Delhi,2019-08-31,Active,53.08,99.65,20.24,0.89,10.18,34.88
DL001,Delhi,2019-09-01,Active,37.32,67.0,22.61,0.75,10.04,24.87
DL001,Delhi,2019-09-02,Active,37.23,62.71,20.81,0.67,10.89,34.17
DL001,Delhi,2019-09-03,Active,69.71,127.75,23.84,0.88,12.66,30.45
DL001,Delhi,2019-09-04,Active,58.12,115.92,24.19,0.88,12.2,26.99
DL001,Delhi,2019-09-05,Active,31.29,62.23,20.48,0.76,11.35,21.66
DL001,Delhi,2019-09-06,Active,32.19,77.5,22.8,0.69,12.28,26.77
DL001,Delhi,2019-09-07,Active,34.06,75.58,24.56,0.83,10.79,41.62
DL001,Delhi,2019-09-08,Active,24.6,44.23,15.3,0.55,11.47,22.42
DL001,Delhi,2019-09-09,Active,50.85,98.6,16.54,0.71,13.33,31.87
DL001,Delhi,2019-09-10,Active,51.02,93.19,19.81,0.75,10.65,33.93
DL001,Delhi,2019-09-11,Active,73.4,146.31,22.66,1.08,11.68,48.49
DL001,Delhi,2019-09-12,Active,53.1,109.48,25.34,0.71,10.18,33.0
DL001,Delhi,2019-09-13,Active,32.67,71.21,20.59,0.73,11.1,30.77
DL001,Delhi,2019-09-14,Active,24.64,50.83,15.77,0.68,10.04,30.75
DL001,Delhi,2019-09-15,Active,28.75,47.73,14.64,0.61,9.42,19.78
DL001,Delhi,2019-09-16,Active,49.98,100.67,24.88,0.83,10.02,36.94
DL001,Delhi,2019-09-17,Active,52.58,104.31,20.14,0.74,10.25,44.14
DL001,Delhi,2019-09-18,Active,32.61,71.81,17.29,0.56,13.55,41.14
DL001,Delhi,2019-09-19,Active,17.17,40.71,11.9,0.5,13.76,30.34
DL001,Delhi,2019-09-20,Active,38.12,78.35,17.35,0.62,16.35,39.36
DL001,Delhi,2019-09-21,Active,60.4,103.46,24.58,0.87,14.04,33.37
DL001,Delhi,2019-09-22,Active,31.81,52.5,29.53,0.56,10.32,20.23
DL001,Delhi,2019-09-23,Active,26.15,46.15,20.66,0.69,12.32,31.13
DL001,Delhi,2019-09-24,Active,28.42,58.85,24.71,0.84,9.78,21.28
DL001,Delhi,2019-09-25,Active,26.98,58.44,21.46,0.76,9.0,22.65
DL001,Delhi,2019-09-26,Active,20.48,42.6,17.36,0.73,10.54,12.56
DL001,Delhi,2019-09-27,Active,14.0,30.0,11.78,0.59,12.49,12.85
DL001,Delhi,2019-09-28,Active,18.79,39.56,13.37,0.79,13.16,12.82
DL001,Delhi,2019-09-29,Active,16.2,30.37,12.38,0.65,14.19,19.78
DL001,Delhi,2019-09-30,Active,30.5,60.81,14.66,0.79,13.56,34.69
DL001,Delhi,2019-10-01,Active,40.6,83.08,21.3,0.92,13.75,28.4
DL001,Delhi,2019-10-02,Active,37.8,66.03,22.92,0.97,16.69,26.08
DL001,Delhi,2019-10-03,Active,47.76,94.13,20.82,0.79,17.05,26.0
DL001,Delhi,2019-10-04,Active,39.07,75.68,23.3,0.76,13.89,32.54
DL001,Delhi,2019-10-05,Active,35.93,88.98,22.86,0.77,11.8,21.12
DL001,Delhi,2019-10-09,Active,74.35,135.21,18.55,0.9,15.6,74.32
DL001,Delhi,2019-10-10,Active,107.94,198.83,45.07,1.05,19.84,49.14
DL001,Delhi,2019-10-11,Active,105.77,213.26,46.24,1.07,15.91,47.27
DL001,Delhi,2019-10-12,Active,102.75,190.57,42.94,1.02,18.12,46.4
DL001,Delhi,2019-10-13,Active,135.48,248.48,46.91,1.12,17.35,37.02
DL001,Delhi,2019-10-14,Active,125.23,243.29,42.3,1.33,15.82,37.69
DL001,Delhi,2019-10-15,Active,140.23,266.4,50.6,1.63,16.14,54.75
DL001,Delhi,2019-10-16,Active,145.71,241.42,30.25,1.32,14.17,49.73
